curve_id	sample_id	repeat_id	environment
MPROS1912_019.3	MPROS1912	4	19
MPROS1912_019.4	MPROS1912	5	19
MPROS1912_019.5	MPROS1912	6	19
MPROS1912_019.6	MPROS1912	7	19
MPROS1912_019.7	MPROS1912	8	19
MPROS1912_019.8	MPROS1912	9	19
MPROS2230_019	MPROS2230	1	19
MPROS2230_019.1	MPROS2230	2	19
MPROS2230_019.2	MPROS2230	3	19
MPROS2230_019.3	MPROS2230	4	19
MPROS2230_019.4	MPROS2230	5	19
MPROS2230_019.5	MPROS2230	6	19
MPROS2230_019.6	MPROS2230	7	19
MPROS2230_019.7	MPROS2230	8	19
MPROS2230_019.8	MPROS2230	9	19
X10770_3.47_019	10770_3#47	1	19
X10770_3.47_019.1	10770_3#47	2	19
X10770_3.47_019.2	10770_3#47	3	19
X10770_3.47_019.3	10770_3#47	4	19
X10770_3.47_019.4	10770_3#47	5	19
X10770_3.47_019.5	10770_3#47	6	19
X10770_3.47_019.6	10770_3#47	7	19
X10770_3.47_019.7	10770_3#47	8	19
X10770_3.47_019.8	10770_3#47	9	19
X10900_1.28_019	10900_1#28	1	19
X10900_1.28_019.1	10900_1#28	2	19
X10900_1.28_019.2	10900_1#28	3	19
X10900_1.28_019.3	10900_1#28	4	19
X10900_1.28_019.4	10900_1#28	5	19
X10900_1.28_019.5	10900_1#28	6	19
X10900_1.28_019.6	10900_1#28	7	19
X10900_1.28_019.7	10900_1#28	8	19
X10900_1.28_019.8	10900_1#28	9	19
NE1360_019	NE1360	1	19
NE1360_019.1	NE1360	2	19
NE1360_019.2	NE1360	3	19
NE1360_019.3	NE1360	4	19
NE1360_019.4	NE1360	5	19
NE1360_019.5	NE1360	6	19
NE1360_019.6	NE1360	7	19
NE1360_019.7	NE1360	8	19
NE1360_019.8	NE1360	9	19
NE1007_019	NE1007	1	19
NE1007_019.1	NE1007	2	19
NE1007_019.2	NE1007	3	19
NE1007_019.3	NE1007	4	19
NE1007_019.4	NE1007	5	19
NE1007_019.5	NE1007	6	19
NE1007_019.6	NE1007	7	19
NE1007_019.7	NE1007	8	19
NE1007_019.8	NE1007	9	19
NE543_019	NE543	1	19
NE543_019.1	NE543	2	19
NE543_019.2	NE543	3	19
NE543_019.3	NE543	4	19
NE543_019.4	NE543	5	19
NE543_019.5	NE543	6	19
NE543_019.6	NE543	7	19
NE543_019.7	NE543	8	19
NE543_019.8	NE543	9	19
NE1459_019	NE1459	1	19
NE1459_019.1	NE1459	2	19
NE1459_019.2	NE1459	3	19
NE1459_019.3	NE1459	4	19
NE1459_019.4	NE1459	5	19
NE1459_019.5	NE1459	6	19
NE1459_019.6	NE1459	7	19
NE1459_019.7	NE1459	8	19
NE1459_019.8	NE1459	9	19
NE187_019	NE187	1	19
NE187_019.1	NE187	2	19
NE187_019.2	NE187	3	19
NE187_019.3	NE187	4	19
NE187_019.4	NE187	5	19
NE187_019.5	NE187	6	19
NE187_019.6	NE187	7	19
NE187_019.7	NE187	8	19
NE187_019.8	NE187	9	19
NE1227_019	NE1227	1	19
NE1227_019.1	NE1227	2	19
NE1227_019.2	NE1227	3	19
NE1227_019.3	NE1227	4	19
NE1227_019.4	NE1227	5	19
NE1227_019.5	NE1227	6	19
NE1227_019.6	NE1227	7	19
NE1227_019.7	NE1227	8	19
NE1227_019.8	NE1227	9	19
NE1123_019	NE1123	1	19
NE1123_019.1	NE1123	2	19
NE1123_019.2	NE1123	3	19
NE1123_019.3	NE1123	4	19
NE1123_019.4	NE1123	5	19
NE1123_019.5	NE1123	6	19
NE1123_019.6	NE1123	7	19
NE1123_019.7	NE1123	8	19
NE1123_019.8	NE1123	9	19
NE286_019	NE286	1	19
NE286_019.1	NE286	2	19
NE286_019.2	NE286	3	19
NE286_019.3	NE286	4	19
NE286_019.4	NE286	5	19
NE286_019.5	NE286	6	19
NE286_019.6	NE286	7	19
NE286_019.7	NE286	8	19
NE286_019.8	NE286	9	19
NE1182_019	NE1182	1	19
NE1182_019.1	NE1182	2	19
NE1182_019.2	NE1182	3	19
NE1182_019.3	NE1182	4	19
NE1182_019.4	NE1182	5	19
NE1182_019.5	NE1182	6	19
NE1182_019.6	NE1182	7	19
NE1182_019.7	NE1182	8	19
NE1182_019.8	NE1182	9	19
NE357_019	NE357	1	19
NE357_019.1	NE357	2	19
NE357_019.2	NE357	3	19
NE357_019.3	NE357	4	19
NE357_019.4	NE357	5	19
NE357_019.5	NE357	6	19
NE357_019.6	NE357	7	19
NE357_019.7	NE357	8	19
NE357_019.8	NE357	9	19
NE162_019	NE162	1	19
NE162_019.1	NE162	2	19
NE162_019.2	NE162	3	19
NE162_019.3	NE162	4	19
NE162_019.4	NE162	5	19
NE162_019.5	NE162	6	19
NE162_019.6	NE162	7	19
NE162_019.7	NE162	8	19
NE162_019.8	NE162	9	19
NE391_019	NE391	1	19
NE391_019.1	NE391	2	19
NE391_019.2	NE391	3	19
NE391_019.3	NE391	4	19
NE391_019.4	NE391	5	19
NE391_019.5	NE391	6	19
NE391_019.6	NE391	7	19
NE391_019.7	NE391	8	19
NE391_019.8	NE391	9	19
NE186_019	NE186	1	19
NE186_019.1	NE186	2	19
NE186_019.2	NE186	3	19
NE186_019.3	NE186	4	19
NE186_019.4	NE186	5	19
NE186_019.5	NE186	6	19
